modelo,modelo_etiqueta,muestra,muestra_etiqueta,informacion,observaciones,trimestres,periodo_inicial,periodo_final,rmse_modelo,sesgo_observado_menos_modelo,mae_modelo,rmse_ar1,ratio_ar1,mejora_ar1_pct,rmse_ar2,ratio_ar2,mejora_ar2_pct,rmse_ma4,ratio_ma4,mejora_ma4_pct
dfm_avanzado_estrategia3_lovo,DFM avanzado · leave-one-out automático,completa_con_covid,Todo el test,M1-M3,66,22,2021-T1,2026-T2,0.5063935606378835,0.130323548541647,0.3637429406164609,1.0771750646585532,0.47011259102846203,52.9887408971538,2.4030653199744694,0.21072817140204228,78.92718285979578,0.7699848355609161,0.6576669269973188,34.23330730026812
dfm_avanzado_estrategia3_lovo,DFM avanzado · leave-one-out automático,completa_con_covid,Todo el test,M1,22,22,2021-T1,2026-T2,0.4548096348001786,0.19386909024630058,0.3499901071034816,1.2156237512272865,0.374136844842827,62.586315515717295,2.7627623338157,0.16462133902485668,83.53786609751434,0.7252546931123541,0.627103332276846,37.2896667723154
dfm_avanzado_estrategia3_lovo,DFM avanzado · leave-one-out automático,completa_con_covid,Todo el test,M2,22,22,2021-T1,2026-T2,0.5336132673156493,0.08874084047047727,0.35475671842842355,1.2156237512272865,0.43896252173167605,56.1037478268324,2.7627623338157,0.19314483217912798,80.68551678208719,0.7252546931123541,0.7357598266971622,26.424017330283778
dfm_avanzado_estrategia3_lovo,DFM avanzado · leave-one-out automático,completa_con_covid,Todo el test,M3,22,22,2021-T1,2026-T2,0.5269804472693339,0.10836071490816312,0.38648199631747776,0.724869747382711,0.727000194410242,27.2999805589758,1.434732508131902,0.3673022283125727,63.269777168742735,0.852432520037993,0.618207816902441,38.1792183097559
dfm_avanzado_estrategia3_lovo,DFM avanzado · leave-one-out automático,sin_covid,Sin COVID,M1-M3,54,18,2022-T1,2026-T2,0.4670791610626564,0.18294027025830745,0.3443668563364365,0.7555852989351113,0.6181686723139496,38.18313276860504,0.8148723719965378,0.5731930264346241,42.68069735653759,0.5562829371772009,0.8396431561118886,16.035684388811145
dfm_avanzado_estrategia3_lovo,DFM avanzado · leave-one-out automático,sin_covid,Sin COVID,M1,18,18,2022-T1,2026-T2,0.40242284029278264,0.21280183070591843,0.3144109228778914,0.7896679937503711,0.5096101696885996,49.038983031140035,0.8176012737749225,0.4921993803101212,50.78006196898788,0.5590771823393477,0.7197983623816018,28.02016376183982
dfm_avanzado_estrategia3_lovo,DFM avanzado · leave-one-out automático,sin_covid,Sin COVID,M2,18,18,2022-T1,2026-T2,0.5207212737473985,0.1789422130409399,0.3598542302692126,0.7896679937503711,0.6594179805545066,34.05820194454934,0.8176012737749225,0.6368890196846096,36.31109803153903,0.5590771823393477,0.9313942514494037,6.860574855059632
dfm_avanzado_estrategia3_lovo,DFM avanzado · leave-one-out automático,sin_covid,Sin COVID,M3,18,18,2022-T1,2026-T2,0.47052528175918584,0.15707676702806408,0.3588354158622053,0.6823315551790875,0.6895845255693764,31.041547443062356,0.8093869668910171,0.5813353822171706,41.86646177828294,0.5506519108824309,0.854487694422343,14.551230557765704
dfm_avanzado_estrategia3_lovo,DFM avanzado · leave-one-out automático,solo_covid,Solo COVID,M1-M3,12,4,2021-T1,2021-T4,0.6547183885151301,-0.10645169918332521,0.4509353198765715,1.9525861086571816,0.33530833063510235,66.46916693648977,5.3640376307831135,0.12205700883935551,87.79429911606445,1.3668552888256016,0.47899612626707716,52.10038737329228
dfm_avanzado_estrategia3_lovo,DFM avanzado · leave-one-out automático,solo_covid,Solo COVID,M1,4,4,2021-T1,2021-T4,0.6394812590975579,0.10867175817802019,0.5100964361186371,2.306834658882521,0.2772115706841929,72.27884293158071,6.2428025060365755,0.10243496546289932,89.75650345371007,1.2191866974306902,0.5245146296668086,47.548537033319136
